City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
258,Sao Filipe,CV,14.8961,-24.4956,78.22,67,0,8.14,clear sky
259,Airai,TL,-8.9266,125.4092,69.76,78,99,2.75,heavy intensity rain
260,Dunedin,NZ,-45.8742,170.5036,58.8,96,100,5.99,overcast clouds
261,Necochea,AR,-38.5473,-58.7368,50.13,89,0,8.59,clear sky
262,Pforzheim,DE,48.8833,8.7,20.34,80,37,4.88,scattered clouds
263,Moose Factory,CA,51.2585,-80.6094,1.38,85,100,3.44,mist
264,Nikolskoye,RU,59.7035,30.7861,24.69,93,100,8.77,overcast clouds
265,Guerrero Negro,MX,27.9769,-114.0611,58.41,68,7,16.17,light rain
266,Boueni,YT,-12.9025,45.0761,80.58,72,100,7.02,light rain
267,Tura,IN,25.5198,90.2201,75.02,52,8,3.74,clear sky
268,Amalapuram,IN,16.5833,82.0167,85.06,63,57,6.42,broken clouds
269,Aquidauana,BR,-20.4711,-55.7872,73.49,89,100,3.65,overcast clouds
270,Sabang,ID,5.8933,95.3214,77.4,90,100,16.08,light rain
271,Hasaki,JP,35.7333,140.8333,50.29,73,100,12.3,overcast clouds
272,Batagay,RU,67.6333,134.6333,-26.43,98,100,2.95,overcast clouds
273,Broken Hill,AU,-31.95,141.4333,74.52,25,7,20.09,clear sky
274,Tevriz,RU,57.509,72.4042,-9.17,89,9,6.49,clear sky
275,Araouane,ML,18.9048,-3.5265,67.53,17,0,8.59,clear sky
276,Krasnoselkup,RU,65.7,82.4667,-18.47,94,100,4.65,overcast clouds
277,Aswan,EG,24.0934,32.907,73.2,24,0,6.62,clear sky
278,Rio Gallegos,AR,-51.6226,-69.2181,44.65,61,0,11.5,clear sky
279,Jiexiu,CN,37.0244,111.9125,27.86,19,0,14.58,clear sky
280,Bethel,US,41.3712,-73.414,26.96,72,0,5.75,clear sky
281,Urumqi,CN,43.801,87.6005,2.35,85,6,4.47,mist
282,Mount Isa,AU,-20.7333,139.5,100.17,8,0,11.5,clear sky
283,Tuktoyaktuk,CA,69.4541,-133.0374,0.88,97,100,10.51,light snow
284,Manado,ID,1.487,124.8455,83.17,74,40,5.75,light rain
285,Yerbogachen,RU,61.2767,108.0108,-16.11,95,91,6.67,overcast clouds
286,Ancud,CL,-41.8697,-73.8203,55.42,93,100,3.22,overcast clouds
287,Boyolangu,ID,-8.1181,111.8935,83.84,72,100,7.58,moderate rain
288,Luba,GQ,3.4568,8.5547,78.69,81,68,4.83,light rain
289,Libreville,GA,0.3925,9.4537,75.22,100,75,2.3,broken clouds
290,Vao,NC,-22.6667,167.4833,76.33,66,86,14.36,overcast clouds
291,Clyde River,CA,70.4692,-68.5914,-5.06,93,40,3.65,scattered clouds
292,Korla,CN,41.7597,86.1469,29.01,38,0,6.11,clear sky
293,Ormara,PK,25.2088,64.6357,76.69,37,0,9.4,clear sky
294,Tual,ID,-5.6667,132.75,82.65,70,100,1.95,light rain
295,Salalah,OM,17.0151,54.0924,80.69,22,0,11.5,clear sky
296,Zhuanghe,CN,39.7008,122.9911,19.0,36,18,27.04,few clouds
297,Sharan,RU,54.8167,54.0,13.1,83,14,5.99,few clouds
298,Grand-Santi,GF,4.25,-54.3833,69.94,100,100,2.37,overcast clouds
299,Khvorostyanka,RU,52.6096,48.9597,22.51,68,0,12.93,clear sky
300,Shelburne,CA,44.0787,-80.2041,18.59,92,4,2.89,clear sky
301,Mazagao,BR,-0.115,-51.2894,77.05,94,13,2.21,few clouds
302,Hazorasp,UZ,41.3194,61.0742,35.44,51,7,11.86,clear sky
303,Quatre Cocos,MU,-20.2078,57.7625,83.08,67,4,14.52,clear sky
304,Karaton,ID,-6.3424,106.1045,85.15,63,84,10.11,broken clouds
305,Klaksvik,FO,62.2266,-6.589,36.52,88,97,27.6,light rain
306,Barra Patuca,HN,15.8,-84.2833,74.93,81,35,3.51,scattered clouds
307,Worland,US,44.0169,-107.9554,18.75,89,100,6.91,mist
308,Kattivakkam,IN,13.2167,80.3167,86.09,71,10,8.95,clear sky
309,Riyadh,SA,24.6877,46.7219,66.34,36,2,12.5,clear sky
310,Boende,CD,-0.2167,20.8667,68.47,97,100,5.7,overcast clouds
311,Beboto,TD,8.2668,16.939,76.44,22,100,5.03,overcast clouds
312,Zaozhuang,CN,34.8647,117.5542,39.79,16,100,18.21,overcast clouds
313,Lubao,PH,14.9167,120.55,89.67,67,100,8.3,overcast clouds
314,Yenagoa,NG,4.9247,6.2642,78.98,84,11,3.15,few clouds
315,Yarada,IN,17.65,83.2667,86.32,66,40,6.91,haze
316,Lagoa,PT,39.05,-27.9833,59.68,79,91,33.42,overcast clouds
317,Karakol,KG,42.4907,78.3936,27.77,69,0,0.29,clear sky
318,Kapuskasing,CA,49.4169,-82.4331,-7.51,84,0,0.0,clear sky
319,Berezniki,RU,59.4152,56.8124,16.05,92,100,9.15,overcast clouds
320,Hastings,GB,50.8552,0.5729,35.78,71,97,14.29,overcast clouds
321,Vanimo,PG,-2.6741,141.3028,81.55,78,100,4.32,overcast clouds
322,Haines Junction,CA,60.7522,-137.5108,17.55,57,100,13.8,overcast clouds
323,Anantapur,IN,14.6833,77.6,79.18,70,90,12.33,overcast clouds
324,Mahibadhoo,MV,3.7833,72.9667,82.04,77,15,15.03,few clouds
325,Naze,JP,28.3667,129.4833,61.72,59,5,15.77,clear sky
326,Tazmalt,DZ,36.3868,4.3989,58.41,86,27,6.22,scattered clouds
327,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,67.82,96,100,2.95,overcast clouds
328,Novomykolayivka,UA,47.9781,35.9102,42.46,91,100,4.52,overcast clouds
329,Banfora,BF,10.6333,-4.7667,69.24,19,96,4.88,overcast clouds
330,Kultuk,RU,51.7208,103.6956,8.37,62,25,1.19,scattered clouds
331,Erenhot,CN,43.6475,111.9767,4.73,37,2,23.73,clear sky
332,Tokur,RU,53.1333,132.9,-7.51,97,100,6.08,overcast clouds
333,Mecca,SA,21.4267,39.8261,77.77,56,0,1.61,clear sky
334,Wanning,CN,18.8003,110.3967,71.38,54,0,13.24,clear sky
335,Kudahuvadhoo,MV,2.6708,72.8944,81.72,78,39,13.85,scattered clouds
336,Bati,ET,11.1833,40.0167,66.51,48,35,6.08,scattered clouds
337,Camden,US,39.7835,-74.9663,30.56,84,5,1.01,clear sky
338,Beringovskiy,RU,63.05,179.3167,-7.67,94,61,4.05,broken clouds
339,Reconquista,AR,-29.15,-59.65,65.46,45,0,7.0,clear sky
340,Progreso,MX,21.2833,-89.6667,71.71,84,6,10.45,clear sky
341,Saint-Pierre,RE,-21.3393,55.4781,83.88,58,20,23.02,light rain
342,Sawakin,SD,19.1059,37.3321,78.8,71,37,13.22,scattered clouds
343,Sagua La Grande,CU,22.8067,-80.0756,67.84,84,0,2.51,clear sky
344,Sursee,CH,47.1667,8.1,25.54,91,100,4.61,overcast clouds
345,Hammerfest,NO,70.6634,23.6821,18.05,57,0,2.3,clear sky
346,Auch,FR,43.65,0.5833,58.24,95,100,5.01,overcast clouds
347,Cedar City,US,37.6775,-113.0619,23.97,74,100,3.44,overcast clouds
348,Carauari,BR,-4.8828,-66.8958,71.92,99,100,1.59,overcast clouds
