City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Raga,SS,2022-12-07 20:56:55,8.4596,25.678,73.17,29,19,4.85
140,Kaitangata,NZ,2022-12-07 20:56:55,-46.2817,169.8464,58.17,61,100,7.81
141,Riyadh,SA,2022-12-07 20:55:59,24.6877,46.7219,62.74,81,4,8.97
142,Le Port,RE,2022-12-07 20:55:14,-20.9373,55.2919,77.0,80,4,4.88
143,Shahr-E Kord,IR,2022-12-07 20:56:56,32.3256,50.8644,40.77,65,75,4.61
144,Kalmunai,LK,2022-12-07 20:56:56,7.4167,81.8167,75.69,62,100,26.35
145,Flinders,AU,2022-12-07 20:56:57,-34.5833,150.8552,65.17,72,16,5.99
146,Craig,US,2022-12-07 20:56:57,40.5153,-107.5464,12.15,85,100,0.0
147,Hobart,AU,2022-12-07 20:56:58,-42.8794,147.3294,50.25,80,75,19.57
148,Hilo,US,2022-12-07 20:56:35,19.7297,-155.09,77.29,80,100,4.0
149,Lensk,RU,2022-12-07 20:52:09,60.7253,114.9278,13.53,92,100,13.62
150,Torbay,CA,2022-12-07 20:56:58,47.6666,-52.7314,37.76,97,100,10.36
151,Dikson,RU,2022-12-07 20:56:59,73.5069,80.5464,-14.35,96,92,18.45
152,Pyaozerskiy,RU,2022-12-07 20:56:59,65.8333,31.1667,17.67,97,98,3.06
153,Ivankiv,UA,2022-12-07 20:56:59,50.9386,29.8943,32.4,94,99,8.79
154,Nizhniy Kuranakh,RU,2022-12-07 20:57:00,58.8353,125.4869,11.12,88,100,14.34
155,Dunedin,NZ,2022-12-07 20:56:40,-45.8742,170.5036,55.8,66,100,11.99
156,Ratnapura,LK,2022-12-07 20:57:00,6.6828,80.3992,74.3,84,100,5.01
157,San Cristobal,VE,2022-12-07 20:57:01,7.7669,-72.225,75.38,69,40,4.27
158,Belyy Yar,RU,2022-12-07 20:57:01,53.6039,91.3903,-20.31,83,40,0.0
